Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Price;Security Deposit;Cleaning Fee;Guests Included;Extra People;Minimum Nights;Maximum Nights;Availability 30;Availability 60;Availability 90;Availability 365;Number of Reviews;Review Scores Rating;Review Scores Accuracy;Review Scores Cleanliness;Review Scores Checkin;Review Scores Communication;Review Scores Location;Review Scores Value;Cancellation Policy;Reviews per Month;image_path
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;3.0;83.0;150.0;;2;20;3;1125;10;37;67;342;1;80.0;8.0;10.0;10.0;10.0;10.0;8.0;strict;0.73;model/images\image-17017812.jpg
Casco Histórico de Vallecas;Villa de Vallecas;Loft;Entire home/apt;4;1.0;1.0;4.0;60.0;;;2;20;1;1125;12;36;56;322;11;78.0;9.0;9.0;10.0;10.0;8.0;8.0;moderate;1.76;model/images\image-15144970.jpg
Numancia;Puente de Vallecas;Apartment;Private room;1;0.5;1.0;2.0;24.0;299.0;20.0;1;5;5;1125;10;40;70;345;58;97.0;10.0;10.0;10.0;10.0;9.0;10.0;strict;1.22;model/images\image-1112289.jpg
Pilar;Fuencarral - El Pardo;Apartment;Entire home/apt;6;1.0;2.0;6.0;90.0;200.0;50.0;1;0;3;360;0;13;43;318;19;89.0;9.0;10.0;10.0;10.0;8.0;9.0;strict;1.52;model/images\image-11342179.jpg
Almagro;Chamberí;Apartment;Entire home/apt;4;1.0;2.0;2.0;100.0;;20.0;1;0;2;1125;17;45;71;120;18;96.0;9.0;9.0;10.0;10.0;10.0;9.0;moderate;1.21;model/images\image-6951548.jpg
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;45.0;;20.0;2;10;3;1125;10;28;58;333;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0;model/images\image-17222895.jpg
Cortes;Centro;Apartment;Private room;4;1.0;1.0;5.0;20.0;;12.0;1;15;1;1125;7;37;61;151;63;75.0;8.0;7.0;9.0;8.0;10.0;8.0;moderate;1.37;model/images\image-876372.jpg
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;64.0;100.0;25.0;2;10;2;1125;3;4;20;20;35;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;6.86;model/images\image-15486531.jpg
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;2.0;90.0;;30.0;1;0;2;1125;0;12;35;307;33;95.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;2.84;model/images\image-12245230.jpg
Palos de Moguer;Arganzuela;Condominium;Private room;1;1.0;1.0;1.0;90.0;;;1;0;2;1125;29;59;89;364;0;;;;;;;;flexible;;model/images\image-15672343.jpg
Universidad;Centro;House;Private room;1;1.5;1.0;1.0;30.0;;;1;0;2;1125;0;6;36;311;2;50.0;3.0;9.0;9.0;8.0;7.0;5.0;flexible;0.15;model/images\image-11686391.jpg
Nueva España;Chamartín;House;Private room;1;1.0;1.0;1.0;35.0;;;1;30;2;365;10;21;51;326;11;89.0;9.0;9.0;9.0;10.0;9.0;9.0;flexible;0.39;model/images\image-1516910.jpg
Alameda de Osuna;Barajas;Apartment;Private room;2;1.0;1.0;1.0;45.0;;5.0;1;25;1;1125;29;59;89;179;1;80.0;8.0;8.0;10.0;10.0;10.0;10.0;moderate;0.61;model/images\image-16819315.jpg
Palos de Moguer;Arganzuela;House;Private room;1;1.0;1.0;1.0;17.0;;;1;17;1;1125;4;11;25;271;269;90.0;9.0;9.0;10.0;10.0;9.0;9.0;moderate;5.71;model/images\image-883037.jpg
Almagro;Chamberí;House;Private room;1;1.0;1.0;1.0;45.0;;;1;0;1;1125;0;29;59;90;0;;;;;;;;flexible;;model/images\image-3745044.jpg
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;38.0;;;1;12;1;1125;0;0;0;46;2;90.0;10.0;10.0;10.0;9.0;9.0;10.0;flexible;0.66;model/images\image-15726578.jpg
Jerónimos;Retiro;House;Entire home/apt;5;1.0;2.0;2.0;110.0;;20.0;1;0;2;1125;1;4;12;87;16;98.0;10.0;9.0;9.0;10.0;10.0;10.0;flexible;7.06;model/images\image-16909270.jpg
Pinar del Rey;Hortaleza;Apartment;Private room;2;1.0;1.0;1.0;25.0;;;1;12;2;1125;14;28;58;148;0;;;;;;;;flexible;;model/images\image-17947501.jpg
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;1.0;26.0;;;1;0;2;1125;6;20;46;121;0;;;;;;;;flexible;;model/images\image-17844827.jpg
Universidad;Centro;House;Entire home/apt;6;2.0;3.0;4.0;150.0;200.0;50.0;6;20;2;1125;14;33;53;328;53;87.0;9.0;9.0;10.0;9.0;10.0;9.0;moderate;3.34;model/images\image-9483963.jpg
Palacio;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;65.0;;30.0;1;0;2;1125;0;3;31;301;54;95.0;10.0;9.0;9.0;9.0;10.0;10.0;moderate;3.21;model/images\image-9406582.jpg
Embajadores;Centro;Condominium;Entire home/apt;6;2.0;3.0;3.0;150.0;200.0;30.0;2;20;2;1125;2;8;8;206;56;99.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;4.0;model/images\image-9045230.jpg
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;1.0;59.0;;20.0;2;12;3;50;2;10;36;311;127;91.0;9.0;9.0;9.0;10.0;10.0;9.0;moderate;3.37;model/images\image-2431155.jpg
Berruguete;Tetuán;Apartment;Entire home/apt;2;1.0;2.0;2.0;26.0;;;1;0;2;15;0;0;0;0;1;100.0;10.0;10.0;10.0;10.0;8.0;10.0;flexible;0.11;model/images\image-13710484.jpg
Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;75.0;225.0;20.0;2;5;1;1125;4;9;17;90;25;94.0;10.0;10.0;10.0;10.0;10.0;10.0;moderate;7.28;model/images\image-16450772.jpg
Goya;Salamanca;Bed & Breakfast;Private room;2;1.0;1.0;1.0;90.0;;;1;0;1;1125;30;60;90;365;5;87.0;8.0;9.0;9.0;9.0;9.0;8.0;strict;0.16;model/images\image-3314361.jpg
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;1.0;34.0;;20.0;1;0;2;20;9;39;64;64;9;98.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.53;model/images\image-8641179.jpg
Cortes;Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;89.0;;;1;0;1;1125;15;44;74;257;0;;;;;;;;flexible;;model/images\image-14566789.jpg
Adelfas;Retiro;Apartment;Entire home/apt;2;1.0;1.0;2.0;50.0;;;2;0;3;15;0;0;5;280;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.14;model/images\image-16733965.jpg
San Isidro;Carabanchel;Apartment;Private room;2;1.5;1.0;1.0;70.0;200.0;15.0;1;0;2;1125;30;60;90;90;0;;;;;;;;flexible;;model/images\image-13389130.jpg
Almagro;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;2.0;75.0;100.0;30.0;2;20;1;30;15;45;71;161;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.0;model/images\image-17897946.jpg
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;6;1.0;2.0;3.0;59.0;;15.0;2;10;3;1125;0;0;5;280;54;89.0;9.0;9.0;10.0;10.0;9.0;9.0;strict;1.96;model/images\image-4652871.jpg
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;65.0;200.0;;2;10;3;90;11;29;52;321;139;96.0;10.0;10.0;10.0;10.0;9.0;10.0;strict;2.45;model/images\image-551966.jpg
Almagro;Chamberí;Other;Private room;4;1.5;2.0;2.0;33.0;300.0;40.0;1;30;4;1000;30;60;90;365;7;66.0;6.0;5.0;8.0;8.0;9.0;7.0;strict;0.2;model/images\image-1787569.jpg
Palacio;Centro;Bed & Breakfast;Private room;1;0.5;1.0;1.0;25.0;;;1;0;1;1125;30;60;90;365;1;;;;;;;;flexible;0.21;model/images\image-9001305.jpg
Embajadores;Centro;Apartment;Private room;2;2.0;1.0;1.0;46.0;;;1;0;3;1125;24;54;84;359;0;;;;;;;;flexible;;model/images\image-17580509.jpg
Palacio;Centro;Apartment;Entire home/apt;4;1.0;0.0;2.0;65.0;80.0;;2;10;2;365;2;3;9;176;116;96.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;2.09;model/images\image-618576.jpg
